protein1	protein2	score
Q969H0	Q9UM47	711
P25025	Q9NPF7	711
Q9Y5F1	Q9UQB3	711
P31323	P08151	711
Q14643	Q07889	711
P35222	Q9Y5G7	711
Q8IVH8	Q15628	711
Q9Y5H1	P60709	711
P40189	P05113	711
P18031	P19022	711
Q9Y5F6	P19784	711
P68133	Q8NEV1	711
P29353	Q08334	711
P05112	P52333	711
Q9Y4H2	P06213	711
Q9UN75	P06241	711
Q9Y5H8	Q8NEV1	711
P10145	P42336	711
Q9UM47	P49757	711
P67870	Q9Y5G6	711
P27361	P51812	711
P04626	Q9Y5F3	711
P63267	Q9Y6N8	711
P42701	Q9HBE4	711
P06241	Q9P2E7	711
P01589	P40933	711
Q14626	P40933	711
P10415	Q16611	711
P62879	Q08462	711
P48736	P15391	711
Q562R1	Q9Y5F3	711
Q9UJ99	P61160	711
Q15303	P22223	711
O96014	Q9ULW2	711
P28482	P17947	711
P26951	P05112	711
Q8TDW7	Q562R1	711
Q9NYQ7	P04626	711
P67870	P61160	711
P35222	Q9HCL0	711
P35222	Q9Y5E5	711
P35568	P05112	711
P04626	Q9UN72	711
Q9H251	P63267	711
P35222	Q9Y5E9	711
Q9Y5E6	P35222	711
P04626	O60330	711
P25024	P10145	711
P19022	Q15303	711
P13232	P08887	711
Q562R1	Q9UN72	711
P78504	P80370	711
P18031	Q9P2E7	711
Q9Y5E6	P62736	711
P63267	P19784	711
Q14626	P42701	711
P42338	Q13261	711
Q9UKB1	P10071	711
O60716	Q9Y5F1	711
P68032	Q9Y5H1	711
P63261	Q9UJ99	711
P35222	Q9UBV4	711
Q9Y5E5	P16591	711
P40189	P25025	711
P35222	Q9Y5H3	711
Q14626	P52333	711
P42701	P15248	711
Q04721	Q9H488	711
Q9Y5G7	Q9UQB3	711
P62993	Q07890	711
P25963	O14920	711
P36507	P04049	711
P55291	Q15303	711
P55291	Q8NEV1	711
O75084	Q9UBV4	711
P42685	Q9ULB4	711
P67870	Q8TAB3	711
P20809	Q13261	711
Q07890	Q14643	711
Q99558	P20333	711
Q9NYQ7	Q8NEV1	711
Q9Y5H6	P16591	711
P49674	P10071	711
P21860	Q9Y5E9	711
P67870	Q96QU1	711
P29353	P10145	711
P68032	P55287	711
P17252	Q15628	711
Q9Y618	Q99466	711
P48729	Q9UMX1	711
P62736	Q9Y5I2	711
Q9Y5I4	P60709	711
P13945	P50150	711
Q9NYQ6	P68133	711
P31323	P10071	711
O95206	P61160	711
P68032	Q9NYQ8	711
P42685	Q9NYQ8	711
Q04721	P49757	711
Q14627	P40189	711
Q9Y5G5	Q8NEV1	711
P19022	O60716	711
Q9Y5E7	P21860	711
Q9H6Q3	P42701	711
Q9Y5E7	P42685	711
Q16659	P01106	711
Q9UN74	P63267	711
P67870	Q9Y5H8	711
Q07890	Q13261	711
Q9Y5F1	P21860	711
P55290	P61160	711
Q08462	P50150	711
Q13261	P52333	711
P60709	Q9UN66	711
P12830	P19784	711
P62736	Q9UQB3	711
Q9UM47	Q9UBG7	711
Q9HC56	P16591	711
Q9ULB4	Q9UQB3	711
P67870	P63261	711
