protein1	protein2
9606.ENSP00000304895	9606.ENSP00000391826
9606.ENSP00000342952	9606.ENSP00000371594
9606.ENSP00000346671	9606.ENSP00000231130
9606.ENSP00000328169	9606.ENSP00000254958
9606.ENSP00000340677	9606.ENSP00000229030
9606.ENSP00000365042	9606.ENSP00000435300
9606.ENSP00000275493	9606.ENSP00000264360
9606.ENSP00000281092	9606.ENSP00000434655
9606.ENSP00000375892	9606.ENSP00000384849
9606.ENSP00000275493	9606.ENSP00000420840
9606.ENSP00000439068	9606.ENSP00000482657
9606.ENSP00000458162	9606.ENSP00000435300
9606.ENSP00000495360	9606.ENSP00000252087
9606.ENSP00000307134	9606.ENSP00000381636
9606.ENSP00000380421	9606.ENSP00000263339
9606.ENSP00000231454	9606.ENSP00000412209
9606.ENSP00000307134	9606.ENSP00000252087
9606.ENSP00000306512	9606.ENSP00000384675
9606.ENSP00000381628	9606.ENSP00000495360
9606.ENSP00000310933	9606.ENSP00000410481
9606.ENSP00000263967	9606.ENSP00000451828
9606.ENSP00000432511	9606.ENSP00000264563
9606.ENSP00000216223	9606.ENSP00000262866
9606.ENSP00000398698	9606.ENSP00000259808
9606.ENSP00000359073	9606.ENSP00000224337
9606.ENSP00000365230	9606.ENSP00000453562
9606.ENSP00000267101	9606.ENSP00000304234
9606.ENSP00000346671	9606.ENSP00000362186
9606.ENSP00000259808	9606.ENSP00000263431
9606.ENSP00000262150	9606.ENSP00000275493
9606.ENSP00000269571	9606.ENSP00000380517
9606.ENSP00000265441	9606.ENSP00000363826
9606.ENSP00000360683	9606.ENSP00000429808
9606.ENSP00000299752	9606.ENSP00000224784
9606.ENSP00000379111	9606.ENSP00000501150
9606.ENSP00000370698	9606.ENSP00000227752
9606.ENSP00000346671	9606.ENSP00000497290
9606.ENSP00000348461	9606.ENSP00000359073
9606.ENSP00000290378	9606.ENSP00000381594
9606.ENSP00000362186	9606.ENSP00000495360
9606.ENSP00000261769	9606.ENSP00000476145
9606.ENSP00000231484	9606.ENSP00000473553
9606.ENSP00000286186	9606.ENSP00000311032
9606.ENSP00000362680	9606.ENSP00000261800
9606.ENSP00000222462	9606.ENSP00000363826
9606.ENSP00000256646	9606.ENSP00000249749
9606.ENSP00000307134	9606.ENSP00000239444
9606.ENSP00000310263	9606.ENSP00000241261
