From	Entry	Entry Name
ENSG00000133937	P56915	GSC_HUMAN
ENSG00000125816	Q9H2Z4	NKX24_HUMAN
ENSG00000100968	Q14934	NFAC4_HUMAN
ENSG00000130584	Q86UZ6	ZBT46_HUMAN
ENSG00000174963	Q8N9L1	ZIC4_HUMAN
ENSG00000068305	Q02078	MEF2A_HUMAN
ENSG00000125968	P41134	ID1_HUMAN
ENSG00000104804	O00295	TULP2_HUMAN
ENSG00000174197	Q8IWI9	MGAP_HUMAN
ENSG00000101057	P10244	MYBB_HUMAN
ENSG00000166704	Q8WXB4	ZN606_HUMAN
ENSG00000130338	Q9NRJ4	TULP4_HUMAN
ENSG00000102145	P15976	GATA1_HUMAN
ENSG00000189299	Q6PJQ5	FOXR2_HUMAN
ENSG00000106546	P35869	AHR_HUMAN
ENSG00000120093	P14651	HXB3_HUMAN
ENSG00000159882	Q9UIE0	ZN230_HUMAN
ENSG00000185630	P40424	PBX1_HUMAN
ENSG00000057935	Q9BTC8	MTA3_HUMAN
ENSG00000110925	Q9H175	CSRN2_HUMAN
ENSG00000177494	Q9BTP6	ZBED2_HUMAN
ENSG00000143257	Q14994	NR1I3_HUMAN
ENSG00000170653	P17544	ATF7_HUMAN
ENSG00000205189	Q96DT7	ZBT10_HUMAN
ENSG00000198453	Q3ZCX4	ZN568_HUMAN
ENSG00000131845	Q9HCX3	ZN304_HUMAN
ENSG00000189164	Q8NB42	ZN527_HUMAN
ENSG00000186766	Q6ZQN5	FOXI2_HUMAN
ENSG00000155966	P51816	AFF2_HUMAN
ENSG00000160336	Q86XN6	ZN761_HUMAN
ENSG00000169955	Q9BV97	ZN747_HUMAN
ENSG00000105419	Q99687	MEIS3_HUMAN
ENSG00000116819	Q6VUC0	AP2E_HUMAN
ENSG00000163497	Q99581	FEV_HUMAN
ENSG00000180806	P31274	HXC9_HUMAN
ENSG00000165512	P17026	ZNF22_HUMAN
ENSG00000174738	Q14995	NR1D2_HUMAN
ENSG00000261221	P0CJ78	ZN865_HUMAN
ENSG00000083817	Q9BWM5	ZN416_HUMAN
ENSG00000105698	Q15853	USF2_HUMAN
ENSG00000052850	Q9H161	ALX4_HUMAN
ENSG00000124092	Q8NI51	CTCFL_HUMAN
ENSG00000179528	Q6XYB7	LBX2_HUMAN
ENSG00000139800	Q96T25	ZIC5_HUMAN
ENSG00000197782	O75290	Z780A_HUMAN
ENSG00000122592	P31268	HXA7_HUMAN
ENSG00000218891	Q8NAF0	ZN579_HUMAN
ENSG00000139613	Q8TAQ2	SMRC2_HUMAN
ENSG00000167081	P40426	PBX3_HUMAN
ENSG00000171540	Q5XKR4	OTP_HUMAN
ENSG00000164458	O15178	TBXT_HUMAN
ENSG00000083814	Q8TAW3	ZN671_HUMAN
ENSG00000215372	A8MUZ8	Z705G_HUMAN
ENSG00000065978	P67809	YBOX1_HUMAN
ENSG00000243943	Q96ME7	ZN512_HUMAN
ENSG00000067955	Q13951	PEBB_HUMAN
ENSG00000178177	Q8N3X6	LCORL_HUMAN
ENSG00000168062	Q8N1L9	BATF2_HUMAN
ENSG00000284484	A0A1W2PPK0	CPHL2_HUMAN
ENSG00000167555	Q3MIS6	ZN528_HUMAN
ENSG00000073584	Q969G3	SMCE1_HUMAN
ENSG00000170100	Q96MU6	ZN778_HUMAN
ENSG00000120784	Q9Y2G7	ZFP30_HUMAN
ENSG00000111424	P11473	VDR_HUMAN
ENSG00000229676	Q9P255	ZN492_HUMAN
ENSG00000158055	Q8TE85	GRHL3_HUMAN
ENSG00000157657	Q5T7W0	ZN618_HUMAN
